2026-09-04 08:02:36 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 2750/4000 train images
2026-09-04 08:02:39 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 2800/4000 train images
2026-09-04 08:02:41 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 2850/4000 train images
2026-09-04 08:02:44 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 2900/4000 train images
2026-09-04 08:02:46 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 2950/4000 train images
2026-09-04 08:02:48 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3000/4000 train images
2026-09-04 08:02:51 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3050/4000 train images
2026-09-04 08:02:53 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3100/4000 train images
2026-09-04 08:02:56 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3150/4000 train images
2026-09-04 08:02:58 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3200/4000 train images
2026-09-04 08:03:00 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3250/4000 train images
2026-09-04 08:03:03 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3300/4000 train images
2026-09-04 08:03:05 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3350/4000 train images
2026-09-04 08:03:07 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3400/4000 train images
2026-09-04 08:03:09 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3450/4000 train images
2026-09-04 08:03:12 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3500/4000 train images
2026-09-04 08:03:14 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3550/4000 train images
2026-09-04 08:03:17 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3600/4000 train images
2026-09-04 08:03:19 | INFO     | __main__:ensure_teacher_cache:151 | Teacher labeled 3650/4000 train images
